ID,Event Type,Timestamp,Value
1,logout,2024-05-25 05:27:36.415655,75.75
2,logout,2024-11-27 14:06:36.415676,
3,view,2024-11-14 22:06:36.415681,330.76
4,purchase,2024-08-19 08:11:36.415691,
5,click,2024-10-06 15:06:36.415695,439.3
6,purchase,2024-06-05 07:33:36.415699,
7,click,2024-03-29 16:51:36.415703,
8,view,2024-06-12 13:19:36.415708,
9,logout,2023-12-24 03:23:36.415714,394.74
10,click,2024-05-19 18:55:36.415718,26.8
11,logout,2024-10-15 06:59:36.415722,431.11
12,login,2024-11-29 06:41:36.415725,203.13
13,login,2024-07-10 22:15:36.415731,
14,login,2024-09-23 20:13:36.415737,470.27
15,purchase,2024-03-16 11:16:36.415743,
16,login,2024-02-12 14:47:36.415749,
17,logout,2024-11-05 18:37:36.415755,
18,view,2024-07-02 07:11:36.415759,34.08
19,view,2024-04-28 13:24:36.415762,193.43
20,logout,2024-02-10 23:34:36.415766,
21,logout,2024-03-11 01:12:36.415769,
22,login,2024-06-14 22:58:36.415773,6.82
23,logout,2024-11-08 04:22:36.415776,325.49
24,logout,2024-02-27 00:02:36.415779,101.8
25,logout,2024-10-15 23:15:36.415784,
26,click,2024-01-19 10:22:36.415788,
27,purchase,2024-01-17 23:39:36.415791,454.31
28,click,2024-09-21 20:05:36.415794,
29,logout,2024-02-05 22:40:36.415798,215.31
30,click,2024-04-10 23:53:36.415801,
31,click,2024-03-10 16:46:36.415805,263.02
32,view,2024-11-11 05:23:36.415808,
33,click,2024-06-13 02:59:36.415811,156.18
34,click,2024-02-29 13:24:36.415815,
35,view,2024-10-24 14:22:36.415819,
36,login,2024-09-17 10:46:36.415822,
37,click,2024-10-02 11:13:36.415826,
38,click,2024-09-24 19:31:36.415829,316.06
39,click,2024-10-17 19:37:36.415832,98.15
40,click,2024-01-01 09:54:36.415837,438.94
41,logout,2024-09-26 21:58:36.415843,
42,logout,2024-03-23 18:54:36.415849,471.7
43,logout,2024-02-15 18:27:36.415855,165.63
44,click,2024-11-30 18:03:36.415862,369.96
45,logout,2024-08-20 20:44:36.415867,
46,purchase,2024-02-01 07:41:36.415871,387.47
47,logout,2024-03-02 22:57:36.415874,
48,logout,2024-02-22 12:55:36.415878,
49,view,2024-12-08 02:51:36.415881,92.3
50,login,2024-06-14 15:54:36.415886,172.36
51,purchase,2024-09-29 00:14:36.415891,420.47
52,view,2024-05-10 18:24:36.415897,44.21
53,view,2024-03-08 06:33:36.415903,450.55
54,login,2024-10-24 23:49:36.415909,
55,logout,2024-07-05 22:41:36.415912,308.73
56,view,2024-08-23 18:19:36.415916,97.41
57,click,2024-10-17 09:32:36.415919,483.36
58,view,2024-05-31 03:32:36.415922,407.66
59,view,2024-06-01 18:40:36.415926,
60,logout,2024-06-03 15:44:36.415929,399.71
61,click,2024-11-23 03:49:36.415933,
62,logout,2024-02-20 04:03:36.415936,
63,view,2024-05-15 19:28:36.415939,
64,click,2024-05-19 03:32:36.415943,322.38
65,login,2024-04-12 23:26:36.415946,461.8
66,view,2024-03-30 11:29:36.415950,280.0
67,purchase,2024-02-23 13:00:36.415953,85.64
68,click,2024-10-13 02:47:36.415957,
69,login,2024-10-25 13:37:36.415961,
70,login,2024-06-26 00:20:36.415964,135.15
71,logout,2023-12-23 14:09:36.415967,12.44
72,purchase,2024-04-05 05:37:36.415971,
73,view,2024-04-13 13:33:36.415975,495.42
74,view,2024-01-16 12:40:36.415978,220.04
75,login,2024-09-28 17:56:36.415981,
76,view,2024-07-03 22:26:36.415985,479.3
77,login,2024-11-05 18:53:36.415988,
78,login,2024-09-19 02:29:36.415992,335.21
79,click,2024-11-03 11:16:36.415995,
80,view,2024-11-14 17:56:36.415998,39.91
81,click,2024-07-06 19:27:36.416002,
82,logout,2024-08-09 21:08:36.416005,398.76
83,logout,2024-01-01 19:43:36.416008,
84,view,2024-11-13 05:57:36.416012,447.69
85,purchase,2024-09-18 16:18:36.416015,404.12
86,logout,2024-12-02 23:23:36.416019,250.27
87,view,2024-11-26 12:51:36.416022,474.06
88,logout,2024-01-16 08:13:36.416025,
89,purchase,2024-07-30 04:54:36.416029,
90,login,2024-08-24 14:13:36.416032,67.97
91,view,2024-08-12 15:23:36.416035,
92,login,2024-05-23 05:25:36.416039,
93,login,2024-06-21 02:25:36.416042,
94,logout,2024-04-18 19:28:36.416046,187.35
95,login,2024-06-09 11:54:36.416049,
96,purchase,2024-11-17 05:56:36.416052,344.53
97,view,2024-01-24 19:47:36.416058,
98,view,2024-04-06 22:49:36.416064,
99,purchase,2024-09-28 12:40:36.416070,68.52
100,logout,2024-05-15 12:32:36.416076,227.12
101,view,2024-10-12 03:25:36.416080,383.42
102,purchase,2024-03-23 11:16:36.416084,362.38
103,logout,2024-05-25 06:27:36.416090,
104,logout,2024-12-17 01:04:36.416095,499.97
105,logout,2024-06-20 04:45:36.416102,32.96
106,view,2024-11-09 04:37:36.416107,
107,click,2024-11-08 12:07:36.416110,185.08
108,view,2024-03-19 10:33:36.416113,129.03
109,login,2024-04-30 00:28:36.416117,81.22
